Tabel 8.3. Objek-Objek Wisata di Kecamatan Kormomolin,,,,,,
,,,,,,
Jenis ,Nama Objek Wisata ,Lokasi,,,,
Objek Wisata Alam,Pantai Beliau ( Soekarno),Alusi Krawain,,,,
,We Kelyarit,Alusi Krawain,,,,
,Tanjung Yempori,Alusi Krawain,,,,
,,,,,,
Objek Wisata Sejarah,Tangga Farano,Alusi Krawain,,,,
,Tangga Batu ke Air Kalyarit,Alusi Krawain,,,,
,Pnue Lose,Meyano Raya,,,,
,,,,,,
Objek Wisata Rohani,Gereja Tua Hati Kudus,Alusi,,,,
Objek Wisata Budaya,Natar Resitalu,Alusi,,,,
,Tarian Daerah,Seluruh Desa,,,,
,Tenun Ikat,Seluruh Desa,,,,
