"Tabel 5.2.3 Luas Panen Buah Buahan Menurut Desa di Kecamatan Tanimbar Selatan (ha), 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Mangga ,Durian ,Jeruk ,Pisang,Pepaya ,Nanas ,Sukun,,,,
Keluarahan Saumlaki ,2.00,- ,-,1.50,0.20,-,0.10,,,,
Olilit ,1.50,- ,-,2.00,0.30,-,1.00,,,,
Sifnana ,1.00,- ,2.00,2.00,0.10,-,1.00,,,,
Lauran ,0.50,- ,-,3.00,0.20,-,0.50,,,,
Kabyarat ,0.50,- ,-,2.50,0.30,-,0.50,,,,
Ilngei ,0.50,- ,-,3.50,0.30,-,0.50,,,,
Wowonda ,1.00,- ,-,3.00,0.10,0.10,1.00,,,,
Bomaki ,0.50,- ,-,1.00,0.20,-,0.20,,,,
Lermatang ,0.50,- ,-,3.00,0.50,-,0.20,,,,
Latdalam ,0.50,- ,1.00,3.00,0.30,0.50,1.00,,,,
Matakus ,0.50,- ,-,1.00,0.10,-,0.10,,,,
,,,,,,,,,,,
