"Tabel 6.3 Banyaknya Sarana Perdagangan Menurut Jenis dan Desa di Kecamatan Tanimbar Selatan, 2012",,,,,,,,,,
,,,,,,,,,,
Desa ,Pasar Umum ,Pasar Desa ,Toko ,Kios ,Warung,"Rumah Makan Restor
an",,,,
Keluarahan Saumlaki,1,- ,125,170,10,26,,,,
Olilit ,- ,- ,4,40,1,-,,,,
Sifnana ,1,- ,9,15,- ,-,,,,
Lauran ,- ,- ,1,25,- ,1,,,,
Kabyarat ,- ,- ,- ,9,- ,-,,,,
Ilngei ,- ,- ,- ,20,- ,-,,,,
Wowonda ,- ,- ,- ,20,- ,-,,,,
Bomaki ,- ,- ,- ,11,- ,-,,,,
Lermatang ,- ,- ,- ,4,- ,-,,,,
Latdalam ,- ,- ,1,7,- ,-,,,,
Matakus ,- ,- ,- ,- ,- ,-,,,,
