"Tabel 5.1.1 Luas Areal , Luas Panen, Produksi, dan Produktivitas Tanaman Pangan Menurut Jenis di Kecamatan Wertamrian, 2012",,,,,,,,,
,,,,,,,,,
JenisTanaman ,Luas Areal (ha),Luas Panen (ha) ,Produksi (ton),Produktivitas (kuintal/ha),,,,,
Padi Ladang ,168,134,187.60,14,,,,,
Jagung ,85,81,209.95,26,,,,,
Ketela Pohon ,45,43,244.00,57,,,,,
Ketela Rambat ,30,27,146.00,54,,,,,
Kacang Tanah ,25,23,3150.00,14,,,,,
Kacang Hijau ,63,57,51.30,9,,,,,
Kacang-Kacang Lainnya,50,45,36.00,8,,,,,
Ubi-Ubian Lainnya ,70,63,403.00,64,,,,,
2012,536,473,1309.35,246,,,,,
,,,,,,,,,
