"Tabel 4.12. Banyaknya Gedung Sekolah Menengah Tingkat Atas Negeri, Murid, Guru Dan Rasio Murid - Guru Menurut Desa di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Desa ,Sekolah,Murid  L ,Murid  P ,Murid  Jumlah ,Guru  L ,Guru  P ,Guru  Jumlah ,Rasio Murid- Guru
Kilon,0,0,0,0,0,0,0,0
Abat,1,44,31,75,6,6,12,6.25
Labobar,0,0,0,0,0,0,0,0
Wunlah,1,96,76,172,10,11,21,8.19
Karatat,0,0,0,0,0,0,0,0
Awear Rumngeur,0,0,0,0,0,0,0,0
Watmasa**),0,0,0,0,0,0,0,0
Lingada,0,0,0,0,0,0,0,0
2011,2,140,107,247,16,17,33,7.48
2010,2,-,-,262,-,-,41,6.39
2009,2,-,-,250,-,-,25,10
